fldName,fldDescriptionHeading,fldDescriptionText,fldNpdidField,fldDescriptionDateUpdated,DatesyncNPD
ALVHEIM,Utvinning,Feltet produseres med naturlig vanndriv fra en underliggende vannsone.,2845712,28.02.2023,28.05.2024
ALVHEIM,Transport,Oljen blir stabilisert og lagret på Alvheimskipet før den eksporteres med tankskip. Prosessert rikgass transporteres via rørledning fra Alvheim til rørledningssystemet Scottish Area Gas Evacuation (SAGE) på britisk sokkel.,2845712,28.02.2023,28.05.2024
ALVHEIM,Reservoar,"Alvheim produserer olje og gass fra paleocen sandstein i Hermod- og Heimdalformasjonene. Reservoarene ligger i undersjøiske vifteavsetninger og injektitter, for det meste på 2100-2200 meters dyp. Reservoarkvaliteten er god.",2845712,28.02.2023,28.05.2024
ALVHEIM,Status,"Som følge av større tilstedeværende volumer og lengre tilleggsbrønner har Alvheim fått en betydelig økning i estimerte utvinnbare olje- og gassressurser siden PUD. Kobra Øst og Gekko ble satt i produksjon i 2023, og produksjonsbidraget fra disse forekomstene vil øke produksjonsnivået på Alvheim. Feltet Tyrving er under utbygging som ny tilknytning til Alvheimskipet.",2845712,13.12.2023,28.05.2024
ALVHEIM,Utbygging,"Alvheim ligger i den sentrale delen av Nordsjøen, ti kilometer vest for Heimdal og nær grensen til britisk sektor. Feltet omfatter seks forekomster; Kameleon, Boa, Kneler, Viper, Kobra og Gekko. Boa ligger delvis på britisk sektor. Vanndybden er 120-130 meter. Alvheim ble påvist i 1998, og plan for utbygging og drift (PUD) ble godkjent i 2004. Feltet er bygd ut med havbunnsbrønner knyttet til et produksjons- og lagerskip, Alvheim FPSO. Produksjonen startet i 2008. Vilje-, Volund-, Bøyla- og Skogulfeltene er knyttet opp til Alvheim. PUD for utbygging av forekomstene Kobra Øst og Gekko ble godkjent i 2022.",2845712,13.12.2023,28.05.2024
ATLA,Transport,Brønnstrømmen ble transportert via undervannsinnretningen Skirne/Byggve til Heimdal for prosessering og eksport.,21106284,16.08.2023,28.05.2024
ATLA,Reservoar,Atla produserte gass fra sandstein av mellomjura alder i Brentgruppen. Reservoaret ligger på 2700 meters dyp og har god kvalitet.,21106284,16.08.2023,28.05.2024
ATLA,Status,"Atla ble stengt ned i juni 2023, og disponeringsaktiviteter pågår.",21106284,09.12.2023,28.05.2024
ATLA,Utbygging,"Atla ligger i den sentralen delen av Nordsjøen, 20 kilometer nordøst for Heimdal. Vanndybden er 120 meter. Atla ble påvist i 2010, og plan for utbygging og drift (PUD) ble godkjent i 2011. Feltet var bygd ut med en produksjonsbrønn tilkoblet en undervannsinnretning som var knyttet til Heimdal via Skirne. Produksjonen startet i 2012.",21106284,16.08.2023,28.05.2024
ATLA,Utvinning,Feltet ble produsert med trykkavlastning.,21106284,16.08.2023,28.05.2024
BALDER,Utbygging,"Balder ligger i den sentrale delen av Nordsjøen, like vest for Granefeltet. Vanndybden er 125 meter. Balder ble påvist i 1967, og opprinnelig plan for utbygging og drift (PUD) ble godkjent i 1996. Produksjonen startet i 1999. Feltet er bygd ut med havbunnsbrønner som er koblet til Balder produksjons- og lagerskipet (FPSO). Ringhorneforekomsten, som ligger ni kilometer nord for Balderskipet, er inkludert i Balder utbyggingen. Ringhorne er bygd ut med en kombinert bolig-, bore- og brønnhodeinnretning knyttet til Balderskipet og Jotunskipet for prosessering, råoljelagring og gasseksport. Ringhorne Øst, et nærliggende oljefelt, ble koblet til Balder via Ringhorneinnretningen. PUD for Ringhorne Jura ble godkjent i 2000, og produksjonen startet i 2003. PUD-fritaket for Ringhorne Vest ble godkjent i 2003, og produksjonen startet i 2004. Endret PUD for Ringhorne ble godkjent i 2007.",43562,28.02.2023,28.05.2024
BALDER,Status,"Endret PUD for Balder og Ringhorne ble godkjent i 2020. Utbyggingsplanen omfatter levetidsforlengelse og flytting av Jotunskipet til en ny lokasjon, samt boring av nye havbunnsbrønner. Skipet er for tiden på et verft for vedlikehold og oppgradering. Etter planen skal det være tilbake på feltet i 2024. Frem til da, injiseres overskuddsgass i Balder og Ringhorne Øst feltene. Det pågår et prosjekt med mål om å optimalisere utnyttelsen av infrastruktur i området for å øke utvinning fra feltet.",43562,24.02.2024,28.05.2024
BALDER,Transport,Oljen fraktes med tankskip. Overskuddsgass fra Balder og Ringhorne eksporteres fra Jotunskipet via Statpipe til terminalen på Kårstø og videre til kontinentet.,43562,28.02.2023,28.05.2024
BALDER,Utvinning,"Balder og Ringhorne produserer hovedsakelig med naturlig vanndriv, men reinjeksjon av produsert vann brukes som trykkstøtte, særlig i Ringhornes jurareservoar. Overskuddsvann injiseres i Utsiraformasjonen. Gass injiseres også dersom gasseksportsystemet er ute av drift.",43562,28.02.2023,28.05.2024
BALDER,Reservoar,"Balder, inkludert Ringhorne, produserer olje fra flere separate forekomster i sandstein av jura, eocen og paleocen alder. Balder produserer fra Heimdal- og Hermodformasjonene, og fra et injisert sandkompleks over dem. Ringhorne produserer fra Hugin-, Ty- og Hermodformasjonene. Reservoarene har god til meget god kvalitet. Balder-reservoaret ligger på 1700 meters dyp og Ringhornereservoaret på 1900 meters dyp.",43562,28.02.2023,28.05.2024
BAUGE,Reservoar,Hovedreservoarene inneholder olje i sandstein av tidlig- og mellomjura alder i Tilje- og Ileformasjonene på 2700 meters dyp. Reservoarene er segmenterte og har moderat kvalitet.,29446221,28.02.2023,28.05.2024
BAUGE,Status,Produksjonen har vært lavere enn forventet.,29446221,12.12.2023,28.05.2024
BAUGE,Utvinning,Feltet produseres med trykkavlastning. Trykkvedlikehold med vanninjeksjon skal etter planen starte noen år etter produksjonsoppstart.,29446221,19.04.2023,28.05.2024
BAUGE,Utbygging,"Bauge ligger på Haltenbanken i det sørlige Norskehavet, 15 kilometer øst for Njord. Vanndybden er 280 meter. Bauge ble påvist i 2013, og plan for utbygging og drift (PUD) ble godkjent i 2017. Utbyggingskonseptet er to produksjonsbrønner knyttet til Njord A-innretningen og en vanninjeksjonsbrønn boret fra havbunnsrammen på Hymefeltet. Produksjonen startet i april 2023.",29446221,12.12.2023,28.05.2024
BAUGE,Transport,"Brønnstrømmen transporteres til Njord A for prosessering. Produsert olje transporteres med rørledning til lagerskipet Njord B, og videre med tankskip til markedet. Gassen sendes i en rørledning via Åsgard Transport System (ÅTS) og videre til terminalen på Kårstø.",29446221,19.04.2023,28.05.2024
BERLING,Status,Feltet er under utbygging. Etter planen skal produksjonen starte i 2028.,42002473,12.08.2023,28.05.2024
BERLING,Reservoar,"Berling inneholder gass og kondensat. Berling Garn-reservoaret er i midtre jura Garnformasjonen. Det ligger på 4100 meters dyp, og har høyt trykk og høy temperatur (HTHT). Reservoaret er strukturelt komplekst og har varierende kvalitet. Berling Breiflabb-reservoaret er i turbidittsandstein av senkritt alder i intra-Langeformasjonen, og ligger på 3900 meters dyp.",42002473,14.12.2023,28.05.2024
BERLING,Utbygging,"Berling ligger på Haltenterrassen i Norskehavet, 20 kilometer vest for Åsgardfeltet. Berling består av to separate forekomster, Berling Garn og Berling Breiflabb. Vanndybden er 280 meter. Berling ble påvist i 2018, og plan for utbygging og drift (PUD) ble godkjent i juni 2023. Utbyggingskonseptet inkluderer en havbunnsramme med fire slisser tilknyttet Åsgard B-innretningen.",42002473,14.12.2023,28.05.2024
BERLING,Transport,Brønnstrømmen skal transporteres i rørledning til Åsgard B for prosessering. Kondensatet skal overføres til Åsgard A og Åsgard C for lagring og eksport med tankskip til markedet. Rikgassen skal transporteres via Åsgard Transport System (ÅTS) for videre behandling i Kårstøterminalen.,42002473,14.12.2023,28.05.2024
BERLING,Utvinning,Feltet skal produseres med trykkavlastning.,42002473,12.08.2023,28.05.2024
BLANE,Utvinning,"Fram til 2019 ble feltet produsert med trykkstøtte fra injeksjon av produsert vann fra Blane, Tambar og Ula. Det produseres nå med trykkavlastning. I tillegg brukes gassløft i brønnene.",3437650,28.02.2023,28.05.2024
BLANE,Reservoar,"Blane produserer olje fra paleocen sandstein i Fortiesformasjonen. Reservoaret er av moderat til god kvalitet, og ligger på 3100 meters dyp.",3437650,28.02.2023,28.05.2024
BLANE,Status,"Produksjonen fra feltet har generelt vært god, men vannproduksjonen er økende. Produksjonen er begrenset av restriksjoner for mengde olje i vannet og tekniske problemer.",3437650,09.12.2023,28.05.2024
BLANE,Transport,Brønnstrømmen transporteres i rørledning til Ula for prosessering. Oljen eksporteres videre til Teesside i Storbritannia.,3437650,28.02.2023,28.05.2024
BLANE,Utbygging,"Blane ligger i den sørlige delen av norsk sektor i Nordsjøen, 35 kilometer sørvest for Ula. Feltet ligger på grensen til britisk sektor, og den norske delen utgjør 18 prosent. Vanndybden er 70 meter. Blane ble påvist i 1989, og plan for utbygging og drift (PUD) ble godkjent i 2005. Feltet er bygd ut med en undervannsinnretning på britisk sokkel som omfatter to horisontale produksjonsbrønner koblet til Ula. Produksjonen startet i 2007.",3437650,28.02.2023,28.05.2024
BRAGE,Utvinning,Utvinningsstrategi for Statfjord- og Brentgruppen og Fensfjordformasjonen er vanninjeksjon. Brentgruppen ble tidligere produsert med vann- alternerende gassinjeksjon (VAG). Sognefjordformasjonen produseres med trykkavlastning og trykkstøtte fra vannsonen.,43651,13.12.2023,28.05.2024
BRAGE,Reservoar,Brage produserer olje fra sandstein av tidligjura alder i Statfjordgruppen og av mellomjura alder i Brentgruppen og Fensfjordformasjonen. Det er også olje og gass i sandstein av senjura alder i Sognefjordformasjonen. Reservoarene ligger på 2000-2300 meters dyp. Reservoarkvaliteten varierer fra dårlig til svært god.,43651,28.02.2023,28.05.2024
BRAGE,Transport,Oljen transporteres i rørledning til Oseberg og videre i Oseberg Transport System (OTS)-rørledningen til Stureterminalen. En gassrørledning er koblet til Statpipe.,43651,28.02.2023,28.05.2024
BRAGE,Utbygging,"Brage ligger i den nordlige delen av Nordsjøen, ti kilometer øst for Oseberg. Vanndybden er 140 meter. Brage ble påvist i 1980, og plan for utbygging og drift (PUD) ble godkjent i 1990. Feltet er bygd ut med en integrert produksjons-, bore- og boliginnretning med stålunderstell. Produksjonen startet i 1993. PUD for Brage Sognefjord ble godkjent i 1998. PUD-fritak for forekomstene Brent Ness, Bowmore Brent og Talisker Øst Brent ble innvilget i henholdsvis 2004, 2007 og 2022.",43651,13.12.2023,28.05.2024
BRAGE,Status,"Brage har vært i produksjon lenge, og det arbeides med å finne nye metoder for å øke utvinningen fra feltet. For tiden bores det nye brønner.",43651,28.02.2023,28.05.2024
BREIDABLIKK,Status,Feltet startet produksjon i oktober 2023.,38702206,21.10.2023,28.05.2024
BREIDABLIKK,Utvinning,Feltet produseres med trykkavlastning og ved hjelp av gassløft i produksjonsbrønnene. ,38702206,21.10.2023,28.05.2024
BREIDABLIKK,Reservoar,"Hovedreservoarene inneholder olje i sandstein av paleocen alder i Heimdalformasjonen på 1700 meters dyp. Reservoarene har god kvalitet med liten variasjon i reservoaregenskaper. Over Heimdalformasjonen er det olje i et sandinjektittkompleks i skifer av paleocen og eocen alder i Lista-, Sele- og Balderformasjonene.",38702206,28.02.2023,28.05.2024
BREIDABLIKK,Transport,Fra Grane transporteres oljen i rørledning til Stureterminalen for lagring og eksport.,38702206,28.02.2023,28.05.2024
BREIDABLIKK,Utbygging,"Breidablikk ligger i den midtre delen av Nordsjøen, ti kilometer nordøst for Grane. Vanndybden er 130 meter. Breidablikk omfatter to forekomster; D-struktur og F-struktur som ble påvist henholdsvis i 1992 og 2013. Plan for utbygging og drift (PUD) ble godkjent i 2021. Feltet er bygget ut med fire havbunnsrammer knyttet til Graneinnretningen.",38702206,21.10.2023,28.05.2024
BRYNHILD,Status,"Brynhild ble stengt ned i 2018, og havbunnsinnretningen ble fjernet i 2021. ",21123063,09.12.2023,28.05.2024
BRYNHILD,Utbygging,"Brynhild ligger i den sørlige delen av norsk sektor i Nordsjøen, 10 kilometer fra britisk sektor og 55 kilometer nordvest for Ula. Vanndybden er 80 meter. Brynhild ble påvist i 1992, og plan for utbygging og drift (PUD) ble godkjent i 2011. Utbyggingskonseptet var en havbunnsramme med fire brønner koblet opp mot produksjons- og lagerskipet (FPSO) Haewene Brim, som ligger på Pierce-feltet på britisk sektor. Produksjonen startet i 2014.",21123063,28.02.2023,28.05.2024
BRYNHILD,Reservoar,"Brynhild produserte olje fra sandstein av senjura alder i Ulaformasjonen. Reservoaret inneholder undermettet olje, og det ligger på 3300 meters dyp. Reservoarforholdene nærmer seg grensen for høyt trykk/høy temperatur (HTHT).",21123063,28.02.2023,28.05.2024
BRYNHILD,Utvinning,Feltet ble produsert med trykkstøtte fra vanninjeksjon. Injeksjonsvann levertes fra Pierce-feltet.,21123063,28.02.2023,28.05.2024
BRYNHILD,Transport,"Brønnstrømmen gikk i rørledning til Haewene Brim-skipet for prosessering. Den prosesserte oljen ble eksportert med skytteltankere til markedet, mens gassen ble reinjisert i Pierce-feltet. ",21123063,28.02.2023,28.05.2024
BYRDING,Utbygging,"Byrding ligger i den nordlige delen av Nordsjøen, fire kilometer nord for feltet Fram H-Nord og 30 kilometer nord for Troll C-innretningen. Vanndybden er 360 meter. Byrding ble påvist i 2005, og plan for utbygging og drift (PUD) ble godkjent i 2017. Utbyggingskonseptet er en togrens multilateral (MLT) brønn boret fra Fram H-Nord-bunnrammen. Produksjonen startet 2017.",28975067,28.02.2023,28.05.2024
BYRDING,Utvinning,Feltet produseres med trykkavlastning.,28975067,28.02.2023,28.05.2024
BYRDING,Reservoar,"Byrding produserer olje og gass fra turbidittsandstein av senjura alder i Heatherformasjonen. Reservoaret ligger på 3050 meters dyp. Det har en kompleks struktur, og reservoarkvaliteten er god.",28975067,28.02.2023,28.05.2024
BYRDING,Status,Feltet har ikke produsert i 2023. Rekomplettering av brønnen er planlagt for 2024 for å starte produksjonen igjen.,28975067,13.12.2023,28.05.2024
BYRDING,Transport,Brønnstrømmen transporteres via Fram Vest til Troll C for prosessering. Oljen transporteres videre i Troll Oljerør II til terminalen på Mongstad. Gassen eksporteres via Troll A til Kollsnesterminalen.,28975067,28.02.2023,28.05.2024
BØYLA,Reservoar,Bøyla produserer olje fra sandstein av senpaleocen til tidligeocen alder i Hermodformasjonen. Reservoaret har god kvalitet og ligger på 2100 meters dyp i et kanalisert submarint viftesystem.,22492497,28.02.2023,28.05.2024
BØYLA,Utvinning,Feltet produseres med trykkstøtte fra vanninjeksjon. Gassløft er også nødvending for å støtte strømning i brønnene.,22492497,28.02.2023,28.05.2024
BØYLA,Utbygging,"Bøyla ligger i den sentrale delen av Nordsjøen, 28 kilometer sør for Alvheim. Vanndybden er 120 meter. Bøyla ble påvist i 2009, og plan for utbygging og drift (PUD) ble godkjent i 2012. Feltet er bygd ut med en havbunnsramme med to horisontale produksjonsbrønner og en vanninjeksjonsbrønn koblet til produksjons- og lagerskipet (FPSO) Alvheim. Produksjonen startet i 2015. Prøveutvinning fra det nærliggende funnet 24/9-12 S (Frosk) begynte i 2019, og ga grunnlaget for PUD som ble godkjent i 2022 for å inkludere Frosk i Bøylafeltet.",22492497,13.12.2023,28.05.2024
BØYLA,Status,"Produksjon fra Bøylabrønnene er avtagende, og det produseres periodisk i veksel mellom Bøyla- og Froskbrønnene.",22492497,13.12.2023,28.05.2024
BØYLA,Transport,Brønnstrømmen transporteres i rørledning til Alvheimskipet. Oljen blir stabilisert og lagret på skipet før eksport med tankskip. Prosessert rikgass transporteres med rørledning fra Alvheim til rørledningssystemet Scottish Area Gas Evacuation (SAGE) på britisk sokkel.,22492497,28.02.2023,28.05.2024
COD,Utbygging,"Cod ligger i den sørlige delen av norsk sektor i Nordsjøen, 75 kilometer nordvest for Ekofisk-feltet. Vanndybden er 75 meter. Cod ble påvist i 1968, og plan for utbygging og drift (PUD) ble godkjent i 1975. Feltet er bygd ut med en kombinert bore-, bolig- og produksjonsinnretning. Produksjonen startet i 1977.",43785,28.02.2023,28.05.2024
COD,Status,"Cod ble stengt ned i 1998, og innretningen ble fjernet i 2013.",43785,09.12.2023,28.05.2024
COD,Utvinning,Produksjonen foregikk med trykkavlastning.,43785,28.02.2023,28.05.2024
COD,Reservoar,Cod produserte gass og kondensat fra dypmarin turbidittsandstein av paleocen alder i Fortiesformasjonen. Forekomsten har en kompleks struktur med flere adskilte reservoarer på 3000 meters dyp.,43785,28.02.2023,28.05.2024
COD,Transport,Brønnstrømmen ble sendt i rørledning til Ekofisk-senteret for eksport.,43785,28.02.2023,28.05.2024
DRAUGEN,Transport,Oljen losses via en flytende lastebøye og eksporteres med tankskip. Gassen blir transportert via Åsgard Transport System (ÅTS) til terminalen på Kårstø.,43758,13.12.2023,28.05.2024
DRAUGEN,Reservoar,Draugen produserer olje fra to formasjoner. Hovedreservoaret er i sandstein av senjura alder i Rognformasjonen. Den vestlige delen av feltet produserer også fra sandstein av mellomjura alder i Garnformasjonen. Reservoarene ligger på 1600 meters dyp og er relativt homogene med gode reservoaregenskaper.,43758,28.02.2023,28.05.2024
DRAUGEN,Status,"Det pågår flere prosjekter for å sikre lønnsom fremtidig produksjon fra feltet, som kraft fra land, levetidsforlengelse og oppgradering av undervannspumpe. I 2023 kom Hasselmusbrønnen i produksjon og leverer nå tilstrekkelig gass til både kraftgenerering og gasseksport. To observasjonsbrønner ble boret i 2023.",43758,13.12.2023,28.05.2024
DRAUGEN,Utbygging,"Draugen ligger i den sørlige delen av Norskehavet. Vanndybden er 250 meter. Draugen ble påvist i 1984, og plan for utbygging og drift (PUD) ble godkjent i 1988. Feltet er bygd ut med en bunnfast betonginnretning med integrert dekk, og har både plattform- og havbunnsbrønner. Stabilisert olje blir lagret i tanker i sokkelen på innretningen. To rørledninger går fra innretningen til en flytende lastebøye. Produksjonen startet i 1993. PUD-fritak for funnet 6407/9-9 (Hasselmus), som undervannstilknytning til Draugen, ble innvilget i 2021.",43758,13.12.2023,28.05.2024
DRAUGEN,Utvinning,"Feltet produseres hovedsakelig med trykkstøtte fra vannsonen, og i tillegg trykkvedlikehold med vanninjeksjon fra sør.",43758,13.12.2023,28.05.2024
DUVA,Transport,"Brønnstrømmen sendes til Gjøa-innretningen for prosessering og eksport. Oljen sendes videre i Troll Oljerør II til terminalen på Mongstad. Rikgassen eksporteres via Far North Liquids and Associated Gas System (FLAGS), for videre prosessering på St. Fergus-terminalen i Storbritannia.",34833026,28.02.2023,28.05.2024
DUVA,Utvinning,Feltet produseres med trykkavlastning og gasskappedriv.,34833026,28.02.2023,28.05.2024
DUVA,Reservoar,Reservoaret inneholder olje og gass i turbidittsandstein av tidligkritt alder i Agatformasjonen. Det ligger på 2200 meters dyp og har god kvalitet.,34833026,13.12.2023,28.05.2024
DUVA,Utbygging,"Duva ligger i den nordlige delen av Nordsjøen, seks kilometer nordøst for Gjøa. Vanndybden er 350 meter. Duva ble påvist i 2016, og plan for utbygging og drift (PUD) ble godkjent i 2019. Utbyggingskonseptet er en havbunnsramme med fire slisser inkludert tre produksjonsbrønner for olje og én for gass, tilknyttet Gjøa-innretningen. Produksjonen startet i 2021.",34833026,13.12.2023,28.05.2024
DUVA,Status,Produksjonen i 2023 har vært høyere enn antatt på grunn av mer behandlingskapasitet tilgjengelig på Gjøa.,34833026,13.12.2023,28.05.2024
DVALIN,Utvinning,Feltet produseres med trykkavlastning.,29393934,28.02.2023,28.05.2024
DVALIN,Utbygging,"Dvalin ligger i den sentrale delen av Norskehavet, 15 kilometer nordvest for Heidrun. Feltet består av tre separate strukturer; Dvalin Øst, Vest og Nord som ble påvist i henholdsvis 2010, 2012 og 2021. Vanndybden er mellom 340 og 400 meter. Plan for utbygging og drift (PUD) av Øst og Vest strukturene ble godkjent i 2017. Utbyggingskonseptet er en havbunnsramme med fire produksjonsbrønner koblet til Heidrun.. Produksjonen startet i 2020. PUD for Dvalin Nord ble godkjent i juni 2023 og inkluderer en havbunnsramme med tre produksjonsbrønner.",29393934,13.12.2023,28.05.2024
DVALIN,Status,"Produksjonen fra Dvalin, som ble midlertidig stanset på grunn av høyt kvikksølvinnhold, startet opp igjen i juli 2023 etter at en løsning for fjerning av kvikksølv fra eksportgassen ble installert på Nyhamna.",29393934,13.12.2023,28.05.2024
DVALIN,Transport,Brønnstrømmen transporteres i rørledning til Heidrun for prosessering i en egen gassprosesseringsmodul. Gassen eksporteres via Polarled til Nyhamna og deretter via Gassled til markedet.,29393934,13.12.2023,28.05.2024
DVALIN,Reservoar,"Dvalin inneholder gass i sandstein av mellomjura alder i Ile- og Garnformasjonene. Reservoarene ligger på 4500 meters dyp og har høyt trykk og høy temperatur (HTHT). Den homogene grunnmarine sandsteinen i Garnformasjonen har god reservoarkvalitet, mens sandsteinen i Ileformasjonen er mer finkornet og heterogen, og har dårligere reservoaregenskaper.",29393934,16.08.2023,28.05.2024
EDDA,Reservoar,Edda produserte olje fra kritt av maastricht og tidlig paleocen alder. Hovedreservoaret ligger i Torformasjonen i øvre kritt på 3100 meters dyp.,43541,28.02.2023,28.05.2024
EDDA,Status,"Edda ble stengt ned i 1998, og innretningen ble fjernet i 2012. ",43541,09.12.2023,28.05.2024
EDDA,Transport,Brønnstrømmen ble sendt i rørledning til Ekofisk-senteret for eksport.,43541,28.02.2023,28.05.2024
EDDA,Utvinning,Feltet ble produsert ved trykkavlastning. Fra 1988 ble gass fra Tommeliten Gamma transportert til Edda og brukt til gassløft i brønnene.,43541,28.02.2023,28.05.2024
EDDA,Utbygging,"Edda ligger i den sørlige delen av norsk sektor i Nordsjøen, tolv kilometer sørvest for Ekofisk-feltet. Vanndybden er 70 meter. Edda ble påvist i 1972, og plan for utbygging og drift (PUD) ble godkjent i 1975. Feltet ble bygd ut med en bemannet brønnhode- og produksjonsinnretning, og produksjonen startet i 1979.",43541,28.02.2023,28.05.2024
EDVARD GRIEG,Reservoar,"Edvard Grieg produserer undermettet olje fra alluvial, eolisk og grunnmarin sandstein og konglomerat av sentrias til tidligkritt alder. Reservoaret ligger på 1900 meters dyp. Reservoarkvaliteten varierer fra moderat til veldig god i marin og eolisk sandstein, mens kvaliteten er dårligere i alluvial sandstein og konglomerat. Det er også påvist olje i det underliggende grunnfjellet.",21675433,13.12.2023,28.05.2024
EDVARD GRIEG,Transport,Oljen eksporteres via rørledning til Grane Oljerør og videre til Stureterminalen. Gassen eksporteres i eget rør til rørledningssystemet Scottish Area Gas Evacuation (SAGE) på britisk sektor.,21675433,28.02.2023,28.05.2024
EDVARD GRIEG,Status,"Edvard Grieg gikk av platå i 2023. Feltet har produsert bedre enn forventet, og utvinnbare volumer har økt betydelig i forhold til PUD-estimater som følge av god reservoarytelse. Det er ferdigstilt to borekampanjer for tilleggsbrønner i 2021 og 2023. Prøveproduksjon fra Troldhaugen som startet i 2021 ble videreført også i 2023.",21675433,13.12.2023,28.05.2024
EDVARD GRIEG,Utvinning,Feltet produseres med trykkstøtte fra vanninjeksjon.,21675433,28.02.2023,28.05.2024
EDVARD GRIEG,Utbygging,"Edvard Grieg ligger på Utsirahøgda i den sentrale delen av Nordsjøen, 35 kilometer sør for Grane og Balder. Vanndybden er 110 meter. Edvard Grieg ble påvist i 2007, og plan for utbygging og drift (PUD) ble godkjent i 2012. Feltet er bygd ut med en bunnfast innretning med stålunderstell og fullt prosessanlegg. Det brukes en oppjekkbar rigg for boring og komplettering av brønner. Produksjonen startet i 2015. Edvard Grieg-innretningen leverer kraft til Ivar Aasen-feltet og prosesserer brønnstrømmen fra Ivar Aasen. Solveig er tilknyttet Edvard Grieg. Funnet Troldhaugen er midlertidig tilknyttet Edvard Grieg for prøveutvinning.",21675433,13.12.2023,28.05.2024
EIRIN,Transport,Brønnstrømmen skal transporteres i rørledning til Gina Krog-innretningen for endelig prosessering og videre transport.,42002492,19.01.2024,28.05.2024
EIRIN,Utbygging,"Eirin ligger i midtre Nordsjøen, ti kilometer nordvest for Gina Krog-feltet. Vanndybden er 120 meter. Eirin ble påvist i 1978, og plan for utbygging og drift (PUD) ble godkjent i januar 2024. Utbyggingskonseptet inkluderer en havbunnsramme med to brønner tilknyttet Gina Krog-innretningen.",42002492,19.01.2024,28.05.2024
